Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
22416962,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22417981,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22418993,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22420007,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22420830,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22421848,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22422859,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22423680,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22424693,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22425711,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22426530,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22427543,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22428555,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22429572,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22430945,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22431497,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22432342,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22433434,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22434262,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22435284,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22436303,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22437126,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22438147,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22439168,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22439993,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22441016,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22442043,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22442871,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22443893,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22444911,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22445743,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22446766,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22447789,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22448617,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22449645,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22451002,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22451601,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22452447,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22453476,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22454495,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22455322,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22456331,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22457345,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22458356,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22459179,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22460193,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22461210,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22462030,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22463043,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22464054,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22464874,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22465894,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22466908,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22467921,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22468743,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22469760,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22471156,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22471700,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22472752,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22473588,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22474632,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22475656,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22476487,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22477521,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22478350,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22479404,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22480427,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22481281,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22482208,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22483184,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22484203,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22485231,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22486053,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22487075,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22487903,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22488927,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22489951,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
